model,BBCH_Principal,GDD
deployable_recalibrated,00,0.0
deployable_recalibrated,01,114.37622831967838
deployable_recalibrated,05,230.96244395649032
deployable_recalibrated,07,257.90408107723397
deployable_recalibrated,09,298.0
deployable_recalibrated,11,313.8271558190711
deployable_recalibrated,13,318.8271558190711
deployable_recalibrated,14,323.8271558190711
deployable_recalibrated,15,328.8271558190711
deployable_recalibrated,17,333.8271558190711
deployable_recalibrated,18,338.8271558190711
deployable_recalibrated,53,343.8271558190711
deployable_recalibrated,55,446.3850407260756
deployable_recalibrated,57,466.07582750465747
deployable_recalibrated,60,604.5892563595431
deployable_recalibrated,61,609.5892563595431
deployable_recalibrated,62,614.5892563595431
deployable_recalibrated,63,717.2029274427621
deployable_recalibrated,65,722.2029274427621
deployable_recalibrated,68,727.2029274427621
deployable_recalibrated,69,732.2029274427621
deployable_recalibrated,71,737.2029274427621
deployable_recalibrated,73,742.2029274427621
deployable_recalibrated,75,864.6024415282799
deployable_recalibrated,76,1094.6487252351073
deployable_recalibrated,77,1177.3949592758686
deployable_recalibrated,79,1204.376332107718
deployable_recalibrated,81,1213.3945508956583
deployable_recalibrated,83,1352.948743330042
deployable_recalibrated,85,1589.8851612059261
deployable_recalibrated,89,1900.8091636741858
deployable_recalibrated,99,3159.1783510862906
