model,fold_id,Tbase,Topt,Tcei,offset_JF,offset_MPT,offset_wk
pooled_calibrated,Duan_2022_毛葡萄野酿2号,5.3881515581217,25.91384922727646,38.58812720510471,0.0,0.0,0.0
pooled_calibrated,guilin_2022_温克,5.2010045485939305,28.563647491424078,41.39889023553103,0.0,0.0,
pooled_calibrated,Mingyang_2023_巨峰,8.441738774230963,28.10559600361903,38.039005606705125,0.0,0.0,0.0
pooled_calibrated,Duan_2023_毛葡萄野酿2号,5.070622171457788,26.12828775717103,44.06223659762212,0.0,0.0,0.0
pooled_calibrated,Mingyang_2024_巨峰,5.43014223859517,27.684939736439055,42.05830597222689,0.0,0.0,0.0
pooled_calibrated,Duan_2024_毛葡萄野酿2号,5.089144342655528,28.08483377066067,41.442417717740156,0.0,0.0,0.0
cultivar_offset_calibrated,Duan_2022_毛葡萄野酿2号,5.6004736736609075,25.492731150275922,39.30435120373131,-68.39126813789187,250.0,0.0
cultivar_offset_calibrated,guilin_2022_温克,7.764595707099355,25.35950016748682,41.903860283156,-141.8621777921809,195.33243493268458,
cultivar_offset_calibrated,Mingyang_2023_巨峰,5.09513350071352,25.521609866939556,42.92311467827437,0.0,250.0,0.0
cultivar_offset_calibrated,Duan_2023_毛葡萄野酿2号,5.541330478936573,25.044508866860703,44.733982717729056,10.257298351207965,250.0,0.0
cultivar_offset_calibrated,Mingyang_2024_巨峰,5.02720030046255,25.135853278394876,42.988447824600875,0.0,250.0,0.0
cultivar_offset_calibrated,Duan_2024_毛葡萄野酿2号,6.133289550249824,25.024363317692085,43.33113965235159,-60.44508696338664,250.0,0.0
