BBCH_Principal,prior_GDD
01,33.111111111111114
05,165.55555555555557
07,231.7777777777778
14,347.38
15,348.26
17,350.02
18,350.9
53,381.7
55,549.5
57,702.1
60,778.825
61,804.4
62,827.025
63,849.65
68,952.05
71,982.2
73,1152.8
75,1311.2
76,1376.3000000000002
77,1441.4
79,1575.2
81,1731.8
83,1877.9
85,2087.3
89,2833.0
99,4697.25
