site_id,year,province,variety,source_variety_code,maturation,lat,lon,BBCH_Principal,major_stage,observed_date
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,81,80,2023-05-26
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,71,70,2023-05-28
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,75,70,2023-06-01
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,83,80,2023-06-04
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,77,70,2023-06-21
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,79,70,2023-06-24
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,85,80,2023-06-25
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,89,80,2023-07-01
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,99,90,2023-07-04
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,81,80,2023-07-24
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,83,80,2023-07-30
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,85,80,2023-08-06
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,89,80,2023-08-16
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,15,10,2024-04-01
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,05,,2024-04-02
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,55,50,2024-04-04
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,57,50,2024-04-07
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,07,,2024-04-09
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,14,10,2024-04-12
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,61,60,2024-04-13
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,15,10,2024-04-15
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,63,60,2024-04-16
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2024-04-18
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,73,70,2024-04-19
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,57,50,2024-04-24
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,75,70,2024-04-28
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,60,60,2024-05-06
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,76,70,2024-05-07
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,79,70,2024-05-10
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,73,70,2024-05-12
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,75,70,2024-05-21
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,81,80,2024-05-29
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,77,70,2024-06-03
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,83,80,2024-06-07
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,85,80,2024-06-16
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,79,70,2024-06-21
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,89,80,2024-07-01
