model,BBCH_Principal,GDD
pooled_calibrated,01,243.6225531201501
pooled_calibrated,05,442.4782628231474
pooled_calibrated,07,481.6514335498368
pooled_calibrated,14,570.6743433964464
pooled_calibrated,15,642.4478322362279
pooled_calibrated,17,642.5478322362279
pooled_calibrated,18,642.6478322362279
pooled_calibrated,53,642.747832236228
pooled_calibrated,55,732.4999207936405
pooled_calibrated,57,818.100354267293
pooled_calibrated,60,1002.8365122968105
pooled_calibrated,61,1002.9365122968105
pooled_calibrated,62,1003.0365122968105
pooled_calibrated,63,1054.1228406233738
pooled_calibrated,68,1113.6338122166335
pooled_calibrated,71,1113.7338122166334
pooled_calibrated,73,1113.8338122166333
pooled_calibrated,75,1257.5039273173225
pooled_calibrated,76,1392.4524994002604
pooled_calibrated,77,1683.7772434335116
pooled_calibrated,79,1756.4924456066917
pooled_calibrated,81,1822.9132070563464
pooled_calibrated,83,1994.3349329558032
pooled_calibrated,85,2268.776891172378
pooled_calibrated,89,2637.63675268878
pooled_calibrated,99,3614.7148846901905
