site_id,year,province,variety,source_variety_code,maturation,lat,lon,BBCH_Principal,major_stage,major_stage_rank,observed_date
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,14,10,1,2024-04-12
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,15,10,1,2024-04-15
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2024-04-18
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,57,50,2,2024-04-24
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,57,50,2,2024-04-27
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,57,50,2,2024-04-30
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,57,50,2,2024-05-03
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,60,60,3,2024-05-06
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,60,60,3,2024-05-09
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,73,70,4,2024-05-12
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,73,70,4,2024-05-18
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,75,70,4,2024-05-21
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,75,70,4,2024-05-24
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,75,70,4,2024-05-27
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,75,70,4,2024-05-30
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,77,70,4,2024-06-03
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,77,70,4,2024-06-06
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,77,70,4,2024-06-12
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,77,70,4,2024-06-15
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,79,70,4,2024-06-21
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,79,70,4,2024-06-27
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,79,70,4,2024-06-30
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,79,70,4,2024-07-09
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,07,00,0,2023-03-14
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,55,50,2,2023-03-21
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,55,50,2,2023-03-24
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,57,50,2,2023-03-27
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,57,50,2,2023-03-30
