major_stage,label,prior_GDD
00,Budburst or early shoot emergence,0.0
10,Leaf development,323.2
50,Inflorescence emergence,381.7
60,Flowering,804.4
70,Berry development,982.2
80,Ripening,1731.8
90,Post-harvest or senescence,1831.8
