biofix_rule,use_cultivar_offsets,state_n_events,state_n_matched,state_mean_abs_stage_distance,state_exact_state_accuracy,state_adjacent_state_accuracy,state_major_stage_accuracy,date_n_events,date_n_matched,date_mae_days,date_rmse_days,date_bias_days,date_within_7_days,date_within_14_days
jan1,True,150,150,3.026666666666667,0.18,0.4866666666666667,0.5933333333333334,66,65,16.107692307692307,21.317021007058763,10.538461538461538,0.35384615384615387,0.5538461538461539
tmean_ge_10_run_3d,True,150,150,3.1466666666666665,0.16,0.4666666666666667,0.5733333333333334,66,65,16.53846153846154,22.10986553206857,11.123076923076923,0.36923076923076925,0.5538461538461539
tmean_ge_12_run_3d,True,150,150,3.1866666666666665,0.13333333333333333,0.44666666666666666,0.5733333333333334,66,65,16.338461538461537,21.4598014185378,11.169230769230769,0.3384615384615385,0.5692307692307692
tmean_ge_8_run_5d,True,150,150,3.1066666666666665,0.14,0.4666666666666667,0.5666666666666667,66,65,16.184615384615384,21.31810353810907,11.046153846153846,0.3384615384615385,0.5692307692307692
tmean_ge_8_run_7d,True,150,150,3.1933333333333334,0.12,0.44,0.5666666666666667,66,65,16.553846153846155,21.72626910518162,11.723076923076922,0.3230769230769231,0.5692307692307692
tmean_ge_10_run_7d,True,150,150,3.1933333333333334,0.12,0.44,0.5666666666666667,66,65,16.553846153846155,21.72626910518162,11.723076923076922,0.3230769230769231,0.5692307692307692
tmean_ge_12_run_5d,True,150,150,3.2133333333333334,0.13333333333333333,0.43333333333333335,0.5666666666666667,66,65,16.476923076923075,21.54173052115716,11.492307692307692,0.3230769230769231,0.5692307692307692
tmean_ge_12_run_7d,True,150,150,3.18,0.12666666666666668,0.43333333333333335,0.56,66,65,16.4,21.60769093846697,11.784615384615385,0.3076923076923077,0.5384615384615384
tmean_ge_10_run_5d,True,150,150,3.2933333333333334,0.12,0.43333333333333335,0.5466666666666666,66,65,16.846153846153847,21.889583051164912,11.923076923076923,0.3230769230769231,0.5538461538461539
tmean_ge_8_run_3d,True,150,150,3.34,0.12,0.44666666666666666,0.5266666666666666,66,65,17.184615384615384,22.640671368137475,12.046153846153846,0.35384615384615387,0.5538461538461539
jan1,False,150,150,3.9266666666666667,0.06,0.29333333333333333,0.4533333333333333,66,65,20.892307692307693,25.431658042078787,10.092307692307692,0.2,0.4307692307692308
tmean_ge_8_run_3d,False,150,150,3.9266666666666667,0.06666666666666667,0.2866666666666667,0.4533333333333333,66,65,20.953846153846154,25.43891628073927,10.061538461538461,0.16923076923076924,0.4153846153846154
tmean_ge_10_run_3d,False,150,150,3.9266666666666667,0.06666666666666667,0.2866666666666667,0.4533333333333333,66,65,20.953846153846154,25.43891628073927,10.061538461538461,0.16923076923076924,0.4153846153846154
tmean_ge_12_run_3d,False,150,150,3.933333333333333,0.06666666666666667,0.2866666666666667,0.4533333333333333,66,65,20.96923076923077,25.470042735006885,10.107692307692307,0.16923076923076924,0.4153846153846154
tmean_ge_12_run_7d,False,150,150,3.953333333333333,0.06666666666666667,0.3,0.44666666666666666,66,65,20.876923076923077,25.39685019840059,10.415384615384616,0.18461538461538463,0.4153846153846154
tmean_ge_8_run_5d,False,150,150,3.94,0.06666666666666667,0.2866666666666667,0.44666666666666666,66,65,21.015384615384615,25.46672036509307,10.061538461538461,0.16923076923076924,0.4153846153846154
tmean_ge_10_run_5d,False,150,150,3.9466666666666668,0.06666666666666667,0.2866666666666667,0.44666666666666666,66,65,21.03076923076923,25.49720950040793,10.076923076923077,0.16923076923076924,0.4153846153846154
tmean_ge_12_run_5d,False,150,150,3.9466666666666668,0.06666666666666667,0.29333333333333333,0.44,66,65,21.015384615384615,25.480007245500722,10.123076923076923,0.16923076923076924,0.4153846153846154
tmean_ge_8_run_7d,False,150,150,3.966666666666667,0.06666666666666667,0.2866666666666667,0.44,66,65,21.0,25.5008295491011,10.169230769230769,0.16923076923076924,0.4153846153846154
tmean_ge_10_run_7d,False,150,150,3.966666666666667,0.06666666666666667,0.2866666666666667,0.44,66,65,21.0,25.5008295491011,10.169230769230769,0.16923076923076924,0.4153846153846154
