model,fold_id,Tbase,Topt,Tcei,offset_JF,offset_MPT,offset_wk
pooled_calibrated,Duan_2022_毛葡萄野酿2号,5.423535769063727,26.394728113034176,40.71354307620915,0.0,0.0,0.0
pooled_calibrated,guilin_2022_温克,5.678527213441788,28.348641307682332,42.28620541869747,0.0,0.0,
pooled_calibrated,Mingyang_2023_巨峰,9.528060419658825,27.670294213832797,41.01308380192368,0.0,0.0,0.0
pooled_calibrated,Duan_2023_毛葡萄野酿2号,5.279795418253026,25.14438906170912,44.82394752067328,0.0,0.0,0.0
pooled_calibrated,Mingyang_2024_巨峰,8.541007666975412,27.126525327217088,44.069173031289004,0.0,0.0,0.0
pooled_calibrated,Duan_2024_毛葡萄野酿2号,5.616951586671659,26.5486591207049,40.31698172677078,0.0,0.0,0.0
cultivar_offset_calibrated,Duan_2022_毛葡萄野酿2号,7.719293285077188,26.03251455086573,39.12071257887141,-125.86808991136417,150.0,0.0
cultivar_offset_calibrated,guilin_2022_温克,9.067564783127061,25.289034931096044,44.307562534273664,-150.0,150.0,
cultivar_offset_calibrated,Mingyang_2023_巨峰,7.554649722333484,25.719766590564245,38.81384798186855,0.0,150.0,0.0
cultivar_offset_calibrated,Duan_2023_毛葡萄野酿2号,5.080269838995573,27.623135715572694,44.58199941202968,-12.412643982324653,150.0,0.0
cultivar_offset_calibrated,Mingyang_2024_巨峰,5.5177769523410065,25.126362370104143,41.62300276857589,0.0,150.0,0.0
cultivar_offset_calibrated,Duan_2024_毛葡萄野酿2号,7.02666229031043,26.857258788452857,43.61941181892246,-94.9717156151114,150.0,0.0
