biofix_rule,use_cultivar_offsets,state_n_events,state_n_matched,state_mean_abs_stage_distance,state_exact_state_accuracy,state_adjacent_state_accuracy,state_major_stage_accuracy,date_n_events,date_n_matched,date_mae_days,date_rmse_days,date_bias_days,date_within_7_days,date_within_14_days
jan1,True,150,150,3.9066666666666667,0.09333333333333334,0.30666666666666664,0.4666666666666667,66,65,20.153846153846153,25.00399968005119,11.261538461538462,0.26153846153846155,0.46153846153846156
tmean_ge_12_run_7d,True,150,150,3.953333333333333,0.1,0.30666666666666664,0.4666666666666667,66,65,20.215384615384615,25.07956569370003,11.63076923076923,0.24615384615384617,0.4461538461538462
tmean_ge_8_run_3d,True,150,150,3.94,0.08,0.3,0.4666666666666667,66,65,20.23076923076923,25.025832807167628,11.276923076923078,0.27692307692307694,0.4461538461538462
tmean_ge_10_run_3d,True,150,150,3.94,0.08,0.3,0.4666666666666667,66,65,20.23076923076923,25.025832807167628,11.276923076923078,0.27692307692307694,0.4461538461538462
tmean_ge_12_run_3d,True,150,150,3.9466666666666668,0.08,0.3,0.4666666666666667,66,65,20.23076923076923,25.054095320080755,11.307692307692308,0.27692307692307694,0.4461538461538462
tmean_ge_8_run_7d,True,150,150,3.973333333333333,0.08666666666666667,0.3,0.46,66,65,20.215384615384615,25.08508597676194,11.384615384615385,0.27692307692307694,0.4461538461538462
tmean_ge_10_run_7d,True,150,150,3.973333333333333,0.08666666666666667,0.3,0.46,66,65,20.215384615384615,25.08508597676194,11.384615384615385,0.27692307692307694,0.4461538461538462
tmean_ge_8_run_5d,True,150,150,3.953333333333333,0.08,0.3,0.46,66,65,20.23076923076923,25.039353641203096,11.307692307692308,0.27692307692307694,0.4461538461538462
tmean_ge_10_run_5d,True,150,150,3.96,0.08,0.3,0.46,66,65,20.246153846153845,25.070362520774943,11.323076923076924,0.27692307692307694,0.4461538461538462
tmean_ge_12_run_5d,True,150,150,3.96,0.08,0.3,0.46,66,65,20.246153846153845,25.062383703931214,11.353846153846154,0.27692307692307694,0.4461538461538462
jan1,False,150,150,3.9266666666666667,0.06,0.29333333333333333,0.4533333333333333,66,65,20.892307692307693,25.431658042078787,10.092307692307692,0.2,0.4307692307692308
tmean_ge_8_run_3d,False,150,150,3.9266666666666667,0.06666666666666667,0.2866666666666667,0.4533333333333333,66,65,20.953846153846154,25.43891628073927,10.061538461538461,0.16923076923076924,0.4153846153846154
tmean_ge_10_run_3d,False,150,150,3.9266666666666667,0.06666666666666667,0.2866666666666667,0.4533333333333333,66,65,20.953846153846154,25.43891628073927,10.061538461538461,0.16923076923076924,0.4153846153846154
tmean_ge_12_run_3d,False,150,150,3.933333333333333,0.06666666666666667,0.2866666666666667,0.4533333333333333,66,65,20.96923076923077,25.470042735006885,10.107692307692307,0.16923076923076924,0.4153846153846154
tmean_ge_12_run_7d,False,150,150,3.953333333333333,0.06666666666666667,0.3,0.44666666666666666,66,65,20.876923076923077,25.39685019840059,10.415384615384616,0.18461538461538463,0.4153846153846154
tmean_ge_8_run_5d,False,150,150,3.94,0.06666666666666667,0.2866666666666667,0.44666666666666666,66,65,21.015384615384615,25.46672036509307,10.061538461538461,0.16923076923076924,0.4153846153846154
tmean_ge_10_run_5d,False,150,150,3.9466666666666668,0.06666666666666667,0.2866666666666667,0.44666666666666666,66,65,21.03076923076923,25.49720950040793,10.076923076923077,0.16923076923076924,0.4153846153846154
tmean_ge_12_run_5d,False,150,150,3.9466666666666668,0.06666666666666667,0.29333333333333333,0.44,66,65,21.015384615384615,25.480007245500722,10.123076923076923,0.16923076923076924,0.4153846153846154
tmean_ge_8_run_7d,False,150,150,3.966666666666667,0.06666666666666667,0.2866666666666667,0.44,66,65,21.0,25.5008295491011,10.169230769230769,0.16923076923076924,0.4153846153846154
tmean_ge_10_run_7d,False,150,150,3.966666666666667,0.06666666666666667,0.2866666666666667,0.44,66,65,21.0,25.5008295491011,10.169230769230769,0.16923076923076924,0.4153846153846154
