name,uuid,target_disease,action_nature,dosage_form,ingredient,ingredient_content,toxicity,dose_default,dose_min,dose_max,dose_unit,total_unit,dilution_ratio,application_method,spraying_interval,suitable_period,note,safety_instructions,water_consumption,register_datetime,register_company,prevention_days,curative_days,eradicative_effect,prevention_efficacy,growth_stage_max_id,growth_stage_min_id,fungicide_type
精甲霜·锰锌,02b91dbd-b85a-4821-92bb-ee8305867003,霜霉病,内吸性,水分散粒剂,代森锰锌/精甲霜灵,68%,低毒,4.33,4.0,5.0,g/L,克,200,喷雾,7-10天,发病前或初期,本品应远离水产养殖去和池塘等施用,安全间隔期7天，每季最多3次,1000,2024-01-24,江阴苏利化学股份有限公司,7,7,True,0.83,c9df68a9-7c62-4e60-a772-85db7d4ecbff,2de32f64-aad5-4fea-abbd-002515869916,苯基酰胺类，代森类（广谱保护性）
波尔多液,2f2b0cfe-4430-4931-9808-42b54b0a4cac,霜霉病,保护性,水分散粒剂,波尔多液,86%,低毒,2.33,2.2,2.5,g/L,克,400,喷雾,7-10天,发病初期,不能与石硫合剂、松脂合剂等混合使用；建议轮换使用延缓抗性,安全间隔期14天，每季最多3次,1000,2018-08-21,陕西汤普森生物科技有限公司,7,7,True,0.83,c9df68a9-7c62-4e60-a772-85db7d4ecbff,2de32f64-aad5-4fea-abbd-002515869916,广谱保护性
氰霜·嘧菌酯,3e39af43-4661-4052-a58e-2861c2a1b4e8,霜霉病,保护和治疗性,悬浮剂,嘧菌酯/氰霜唑,40%,低毒,0.23,0.22,0.24,ml/L,毫升,4000,喷雾,7-10天,发病前或初期,苹果、樱桃仅用；蚕室及桑园附近禁用；对赤眼蜂等有毒,安全间隔期14天，每季最多3次,1000,2018-08-21,郑州郑氏化工产品有限公司,7,7,True,0.83,c9df68a9-7c62-4e60-a772-85db7d4ecbff,2de32f64-aad5-4fea-abbd-002515869916,磺胺咪唑类，甲氧基丙烯酸酯类
烯酰·异菌脲,44ad29d0-bef7-406f-a41f-f65c7dff3f74,霜霉病,保护和治疗性,悬浮剂,烯酰吗啉/异菌脲,51%,低毒,0.76,0.71,0.83,ml/L,毫升,1200,喷雾,7-10天,发病初期,本品对藻类、鱼类、蜜蜂、鸟类、家蚕、蚯蚓有毒；植物花期慎用,安全间隔期14天，每季最多2次,1000,2018-09-26,安徽麦道丰有限公司,7,7,True,0.83,c9df68a9-7c62-4e60-a772-85db7d4ecbff,2de32f64-aad5-4fea-abbd-002515869916,羧酸酰胺类，二甲酰亚胺类
乙铝·氟吡胺,89c734e6-4285-4fc8-b4c0-d3783750a7ba,霜霉病,治疗性,水分散粒剂,三乙膦酸铝/氟吡菌胺,71%,低毒,2.2,2.0,2.5,g/L,克,400,喷雾,10天,发病初期,本品不能与以氮、氨为主的叶面肥、油悬浮剂、铜制剂等混合使用；建议与甲霜灵、嘧菌酯等轮换使用,安全间隔期14天，每季最多3次,1000,2018-08-21,拜尔股份公司,7,10,True,0.83,c9df68a9-7c62-4e60-a772-85db7d4ecbff,2de32f64-aad5-4fea-abbd-002515869916,氨基甲酸酯类，吡唑酰胺类
嘧菌酯,9c63aca5-d1cb-4a17-af2d-8b0735e8ff09,霜霉病,保护和治疗性,悬浮剂,嘧菌酯,25%,低毒,0.86,0.73,1.0,ml/L,毫升,1000,喷雾,7-10天,发病初期,建议与其它保护性杀菌剂交替使用,安全间隔期21天，每季最多3次,1000,2014-08-01,河北省衡水北方农药化工有限公司,7,7,True,0.83,08b63e7a-94b0-471e-96d8-29510bed0f9b,c0863a91-a163-4b20-9c78-d6cd73106ef9,甲氧基丙烯酸酯类
唑嘧·代森联,9d8258be-045e-445a-951d-0c354af4ba96,霜霉病,保护性,水分散粒剂,吡唑醚菌酯/代森联,60%,低毒,0.8,0.66,1.0,g/L,克,1000,喷雾,7-10天,发病初期,建议轮换使用；本品对赤眼蜂等天敌昆虫有毒；本品对家蚕和蜜蜂有毒,安全间隔期7天，每季最多3次,1000,2018-09-26,江苏省扬州市苏灵农药化工有限公司,7,7,True,0.83,c9df68a9-7c62-4e60-a772-85db7d4ecbff,2de32f64-aad5-4fea-abbd-002515869916,甲氧基丙烯酸酯类，广谱保护性
代森锰锌,af88dbd9-e5dd-4607-92a1-62156d164430,霜霉病,保护性,可湿性粉剂,代森锰锌,70%,低毒,1.73,1.4,2.26,g/L,克,700,喷雾,7-10天,发病初期,不能与强碱性农药混用；在喷过铜、汞等药剂后要间隔一周,安全间隔期14天,1000,2009-06-02,昆明农药有限公司,7,7,True,0.83,c9df68a9-7c62-4e60-a772-85db7d4ecbff,2de32f64-aad5-4fea-abbd-002515869916,广谱保护性
