id,created_datetime,text
1186,2025-11-20T13:01:04.415669+00:00,"Image1:Propamocarb-0046.jpg, Normal:5, Malformed:6, Empty:10, MalformationRate:28.6%, GerminationRate:47.6%
Image2:ddH2O(27).jpg, Normal:7, Malformed:5, Empty:6, MalformationRate:27.8%, GerminationRate:33.3%
Total: Number of images: 2, Normal:12, Malformed:11, Empty:16, MalformationRate:28.2%, GerminationRate:40.5%"
1187,2025-12-03T09:01:13.244245+00:00,
1188,2025-12-03T09:01:32.025407+00:00,"Image1:IMG_8602.JPG, Normal:45, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image2:IMG_8605.JPG, Normal:9, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image3:IMG_8606.JPG, Normal:3, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image4:25.JPG, Normal:0, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Total: Number of images: 4, Normal:57, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%"
1189,2025-12-03T09:02:21.860749+00:00,
1190,2025-12-03T09:02:31.883333+00:00,"Image1:IMG_8602.JPG, Normal:45, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image2:IMG_8605.JPG, Normal:9, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image3:IMG_8606.JPG, Normal:3, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image4:25.JPG, Normal:0, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Total: Number of images: 4, Normal:57, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%"
1191,2025-12-03T09:05:24.932104+00:00,
1192,2025-12-03T09:05:37.712552+00:00,"Image1:25.JPG, Normal:2, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image2:19 (1).JPG, Normal:45, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image3:32 (1).JPG, Normal:0, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image4:29 (1).JPG, Normal:0, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image5:32 (2).JPG, Normal:1, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Total: Number of images: 5, Normal:48, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%"
1193,2025-12-03T09:07:16.912364+00:00,
1194,2025-12-03T09:07:24.899213+00:00,"Image1:28 (1).JPG, Normal:0, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Total: Number of images: 1, Normal:0, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%"
1195,2025-12-03T09:10:45.611719+00:00,
1196,2025-12-03T09:10:52.106778+00:00,"Image1:23 (2).JPG, Normal:1, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Total: Number of images: 1, Normal:1, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%"
1197,2025-12-03T09:16:26.972686+00:00,
1198,2025-12-03T09:16:33.816550+00:00,"Image1:23 (2).JPG, Normal:1, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image2:观测 10X20-01.jpg, Normal:0, Malformed:0, Empty:1, MalformationRate:0.0%, GerminationRate:100.0%
Total: Number of images: 2, Normal:1, Malformed:0, Empty:1, MalformationRate:0.0%, GerminationRate:50.0%"
1199,2025-12-03T09:18:45.709602+00:00,
1200,2025-12-03T09:18:51.376691+00:00,"Image1:观测 10X20-02.jpg, Normal:2, Malformed:1, Empty:0, MalformationRate:33.3%, GerminationRate:0.0%
Total: Number of images: 1, Normal:2, Malformed:1, Empty:0, MalformationRate:33.3%, GerminationRate:0.0%"
1201,2025-12-03T09:21:16.254111+00:00,
1202,2025-12-03T09:21:21.874926+00:00,"Image1:观测 10X40-03.jpg, Normal:1, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Total: Number of images: 1, Normal:1, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%"
1203,2025-12-03T09:24:45.222545+00:00,
1204,2025-12-03T09:24:50.910748+00:00,"Image1:观测 10X20-0004.json, Normal:0, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Total: Number of images: 1, Normal:0, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%"
