recode_ptr_id,disease_text,incidence_rate,severity,growthstageuuid_id
c1a17a2b-c0a4-49cc-9773-ea154994354b,霜霉病,10,30,a818cb78-9ff0-4797-9f96-7e1026e482a2
0c0b8c2c-6b57-4b02-990c-826387600d79,白粉病,1,1,bcd73352-76d9-42e3-b08d-29b0e110ec58
fa90a682-449a-4e2a-9dd0-574d8c056b11,霜霉病,18,12,bcd73352-76d9-42e3-b08d-29b0e110ec58
9fd15e41-0da2-41a7-b003-3669cdc80fc3,霜霉病,20,50,a6fb16fc-1939-4a70-8ff6-578b0a72a718
6cfbd04e-0135-4778-8a02-5ba33aee05a6,霜霉病,10,10,bcd73352-76d9-42e3-b08d-29b0e110ec58
6af61458-d499-4f53-81aa-4a4092d7480f,白粉病,12,25,bcd73352-76d9-42e3-b08d-29b0e110ec58
