id,image,note_id
1937,grape/static/yolo/32_2.JPG,1191
1938,grape/static/yolo/29_1.JPG,1192
1939,grape/static/yolo/25.JPG,1192
1940,grape/static/yolo/19_1.JPG,1192
1941,grape/static/yolo/32_1.JPG,1192
1942,grape/static/yolo/32_2.JPG,1192
1943,grape/static/yolo/28_1.JPG,1193
1944,grape/static/yolo/28_1.JPG,1194
1945,grape/static/yolo/23_2.JPG,1195
1946,grape/static/yolo/23_2.JPG,1196
1947,grape/static/yolo/23_2.JPG,1197
1948,grape/static/yolo/观测_10X20-01.jpg,1197
1949,grape/static/yolo/23_2.JPG,1198
1950,grape/static/yolo/观测_10X20-01.jpg,1198
1951,grape/static/yolo/观测_10X20-02.jpg,1199
1952,grape/static/yolo/观测_10X20-02.jpg,1200
1953,grape/static/yolo/观测_10X40-03.jpg,1201
1954,grape/static/yolo/观测_10X40-03.jpg,1202
1955,grape/static/yolo/观测_10X20-0004.json,1203
1956,grape/static/yolo/观测_10X40-01.jpg,1203
1957,grape/static/yolo/观测_10X40-01.jpg,1204
1958,grape/static/yolo/观测10X10_3.jpg,1205
1959,grape/static/yolo/观测10X10_3.jpg,1206
1960,grape/static/yolo/观测10X20_1.jpg,1207
1961,grape/static/yolo/观测10X20_1.jpg,1208
1962,grape/static/yolo/观测10X20_78.jpg,1209
1963,grape/static/yolo/观测10X20_78.jpg,1210
1964,grape/static/yolo/观测10X20_84.jpg,1211
1965,grape/static/yolo/观测10X20_84.jpg,1212
1966,grape/static/yolo/观测10X20_84.jpg,1213
1967,grape/static/yolo/观测10X20_84.jpg,1214
1968,grape/static/yolo/观测10X20_85.jpg,1215
1969,grape/static/yolo/观测10X20_85.jpg,1216
1970,grape/static/yolo/观测10X20_17.jpg,1217
1971,grape/static/yolo/观测10X20_17.jpg,1218
1972,grape/static/yolo/观测10x20_21.tif,1219
1973,grape/static/yolo/观测10x20_21.tif,1220
1974,grape/static/yolo/观测10x20_21.tif,1221
1975,grape/static/yolo/观测10x20_21.tif,1222
1976,grape/static/yolo/观测10X20_31.tif,1223
1977,grape/static/yolo/观测10X20_31.tif,1224
1978,grape/static/yolo/20240516-明-水洗10X20-07.jpg,1225
1979,grape/static/yolo/20240516-明-水洗10X20-07.jpg,1226
1980,grape/static/yolo/20240521-都-水洗10X40-02.jpg,1227
1981,grape/static/yolo/明阳-水洗-10X40-02.jpg,1227
1982,grape/static/yolo/明阳-水洗-10X40-02.jpg,1228
1983,grape/static/yolo/20240521-都-水洗10X40-02.jpg,1228
1984,grape/static/yolo/10X20倍_2.tif,1229
1985,grape/static/yolo/10X20倍_2.tif,1230
1986,grape/static/yolo/10X20倍_3.tif,1231
1987,grape/static/yolo/10X20倍_3.tif,1232
1988,grape/static/yolo/10X20倍_42.tif,1233
1989,grape/static/yolo/10X20倍_42.tif,1234
1990,grape/static/yolo/10X20倍_17.tif,1235
1991,grape/static/yolo/10X20倍_17.tif,1236
1992,grape/static/yolo/10X20倍_21.tif,1237
1993,grape/static/yolo/10X20倍_21.tif,1238
1994,grape/static/yolo/10X20倍_29.tif,1239
1995,grape/static/yolo/10X20倍_29.tif,1240
1996,grape/static/yolo/10X40倍_194.tif,1241
1997,grape/static/yolo/10X40倍_194.tif,1242
1998,grape/static/yolo/10X40倍_155.tif,1243
1999,grape/static/yolo/10X40倍_155.tif,1244
2000,grape/static/yolo/10X40倍_1.tif,1245
2001,grape/static/yolo/10X40倍_1.tif,1246
2002,grape/static/yolo/10X40倍_6.tif,1247
2003,grape/static/yolo/10X40倍_6.tif,1248
2004,grape/static/yolo/10X40倍_8.tif,1249
