id,name,uuid,download_link
1,葡萄通使用说明书,b2da68c1-155d-430e-bb61-1cfaf7725440,http://118.89.50.72/static/putaotong_instructions.pdf
2,《“野酿2号”毛葡萄二次结果栽培技术规程》,97157229-0906-4e9c-bf94-345ebcbace73,http://118.89.50.72/static/《“野酿2号”毛葡萄二次结果栽培技术规程》.pdf
3,《葡萄霜霉病智慧预警与绿色综合防控技术规程》,b8aeb28b-cbc2-4bc2-8d03-f67ea8b5753f,http://118.89.50.72/static/《葡萄霜霉病智慧预警与绿色综合防控技术规程》.pdf
